id,tweet,created_at,user_id,name,username,retweets_count,replies_count,likes_count,quote_url
1518963397701906433,"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom  El valor diferencial de todo profesional.  https://t.co/0On5h6N9hR",2022-04-26 16:41:09 CEST,535255114,Rubén Berrocal,berrocalruben,0,0,0,
1518910838987501570,#ESTAPASANDO Talento y competencias digitales #SP22 Inés Garcia @TheBridge_Tech Enric Montesa @COEV_COM Leticia Gonzalvez Directora marketing @sesamehr_ La competencia digital demandada en las empresas no son las básicas que todos tenemos.  https://t.co/orPM5iTbPE,2022-04-26 13:12:18 CEST,1978768458,COGITI Valencia,cogitivalencia,0,1,3,
1518909298688077825,Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,2022-04-26 13:06:11 CEST,227327854,BURN España 🔥,burn_es,1,1,3,
1518607234976161792,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉 https://t.co/0n4iufzfmi  https://t.co/A51YStbfjF",2022-04-25 17:05:53 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1518529871969988608,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉 https://t.co/XGIPZfmtx6  https://t.co/7jrVa74qTG",2022-04-25 11:58:29 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1517423870483042304,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech  https://t.co/OFDlmziC1y,2022-04-22 10:43:37 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,0,0,2,
1517421295373271041,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant  https://t.co/lYFyIZuW3J,2022-04-22 10:33:23 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,1,0,5,
1517420242120683520,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming  https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech  https://t.co/kApsKZ04SD,2022-04-22 10:29:12 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,0,0,2,
1517419666938998784,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech  https://t.co/gLjyCQPBRH",2022-04-22 10:26:55 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,3,0,5,
1517418437777240065,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant  https://t.co/yaoUnWJIs6",2022-04-22 10:22:02 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,1,0,4,
